Buffer1,CounterIon1,Fe2_source1,pH,Fh_g,Fe2_mM,Fe2Fh_mMg,Fh_pct,Gt_pct,Lp_pct,Mt_pct,Time_hr
MES,sulfate,FeSO4,6.5,0.5,3,6,1,63,36,0,10
MES,sulfate,FeSO4,6.5,0.5,3,6,15,64,21,0,15
MES,sulfate,FeSO4,6.5,0.5,3,6,0,92,8,0,20
MES,sulfate,FeSO4,6.5,0.5,3,6,1,99,0,0,25
MES,sulfate,FeSO4,6.4,1,1,1,100,0,0,0,0
MES,sulfate,FeSO4,6.4,1,1,1,98,0,2,0,2
MES,sulfate,FeSO4,6.4,1,1,1,94,6,0,0,4
MES,sulfate,FeSO4,6.4,1,1,1,75,18,7,0,6
MES,sulfate,FeSO4,6.4,1,1,1,55,25,20,0,8
MES,sulfate,FeSO4,6.4,1,1,1,40,38,22,0,10
MES,sulfate,FeSO4,6.4,1,1,1,40,40,20,0,12
MES,sulfate,FeSO4,6.4,1,1,1,17,58,25,0,16
MES,sulfate,FeSO4,6.4,1,1,1,13,60,27,0,20
MES,sulfate,FeSO4,6.4,1,1,1,16,82,2,0,48
